# Lexique de traduction des termes de règle -- table d'autorité du projet (LOT-30).
#
# GÉNÉRÉ. Ne pas éditer à la main :
#     python scripts/sourcebook glossaire
#
# Une seule traduction par terme de règle, dans tout le jeu. Ce n'est pas un catalogue
# d'interface -- fr.lang et en.lang font cela ; c'est ce qui empêche « saving throw » de
# devenir « jet de sauvegarde » dans la fiche et « JdS » dans le journal de combat.
#
# Source : Glossaire.pdf (aidedd.org), complété par Basic-Rules-FR.pdf. Provenance `srd`
# pour la totalité du fichier (EX-CNT-001), OGL 1.0a -- inutile de la répéter par ligne.
#
# Plusieurs traductions d'un même terme sont séparées par « / » ; la première est la
# forme retenue, les suivantes sont admises en lecture (check_glossary.py).
anglais;français;catégorie
poison;poison;type de dégâts
Poison Spray;Bouffée de poison;
Poisoned;empoisonné;état
Poisoner;Empoisonneur;don (TCoE)
Poisonous Snake;Serpent venimeux;
Polar Bear;Ours polaire;
Polearm Master;Maître d'hast;don
Polymorph;Métamorphose;
Pony;Poney;
Portable Hole;Puits portatif;
Portent;Présage;capacité (magicien)
Position of Privilege;Apanage de la noblesse;capacité (historique)
Potent Cantrip;Sort mineur puissant / Sort mineur appuyé;capacité (magicien)
Potent Spellcasting;Incantation puissante;capacité (clerc)
Potion of Animal Friendship;Potion d'amitié avec les animaux;
Potion of Clairvoyance;Potion de clairvoyance;
Potion of Climbing;Potion d'escalade;
Potion of Diminution;Potion de diminution;
Potion of Fire Breath;Potion de souffle enflammé;
Potion of Flying;Potion de vol;
Potion of Gaseous Form;Potion de forme gazeuse;
Potion of Giant Strength;Potion de force de géant / Potion de force du géant;
Potion of Growth;Potion d'agrandissement;
Potion of Healing;Potion de guérison;
Potion of Heroism;Potion d'héroïsme;
Potion of Invisibility;Potion d'invisibilité;
Potion of Invulnerability;Potion d'invulnérabilité;
Potion of Longevity;Élixir du jouvence;
Potion of Mind Reading;Potion de lecture des pensées;
Potion of Poison;Potion de poison / Potion toxique;
Potion of Resistance;Potion de résistance;
Potion of Speed;Potion de vitesse;
Potion of Vitality;Potion de vitalité;
Potion of Water Breathing;Potion de respiration aquatique;
Power Word Heal;Mot de pouvoir guérisseur;
Power Word Kill;Mot de pouvoir mortel;
Power Word Pain;Mot de pouvoir douloureux (XGtE);
Power Word Stun;Mot de pouvoir étourdissant;
Prayer of Healing;Prière de guérison;
Precision Attack;Attaque précise;manœuvre
prerequisites;prérequis;
Preserve Life;préservation de la vie / survivance;capacité (clerc/conduit divin)
Prestidigitation;Prestidigitation;
Priest;Prêtre / Ecclésiastique;
Primal Champion;Champion primitif;capacité (barbare)
Primal Path;Voie primitive;capacité (barbare)
Primal Savagery;Sauvagerie primitive (XGtE);
Primal Strike;Frappe primitive / Attaques primivites;capacité (druide)
Primeval Awareness;Vigilance primitive;capacité (rôdeur)
Primordial;primordial;langue
Primordial Ward;Protection primordiale (XGtE);
Prismatic Spray;Rayons prismatiques / Embruns prismatiques;
Prismatic Wall;Mur prismatique;
Prodigy;Prodige;don (XGtE)
Produce Flame;Flammes;
proficiency;maîtrise;
proficiency bonus;bonus de maîtrise;
Programmed Illusion;Illusion programmée;
Project Image;Projection d'image / Image projetée;
Projected Ward;Protection projetée / Égide projetée;capacité (magicien)
Prone;à terre;état
Protection;Protection;style de combat
Protection from Energy;Protection contre une énergie / Protection contre l'énergie;
Protection from Evil and Good;Protection contre le mal et le bien;
Protection from Poison;Protection contre le poison;
Protection of the Talisman;Protection du Talisman;manifestation occulte (TCoE)
Pseudodragon;Pseudodragon;
psychic;psychique;type de dégâts
Psychic Scream;Hurlement psychique (XGtE);
Pteranodon;Ptéranodon;
Purify Food and Drink;Purification de nourriture et d'eau / Purification de la nourriture et de l'eau;
Purity of Body;Pureté physique;capacité (moine)
Purity of Spirit;Pureté de l'esprit;capacité (paladin)
Purple Worm;Ver pourpre;
Pushing Attack;Repousser;manœuvre
Pyrotechnics;Pyrotechnie (XGtE);
Quaal's Feather Token;Plume de Quaal;
Quadrone;Quadrone;
Quaggoth;Quaggoth;
Quaggoth spore servant;Quaggoth, serviteur des spores;
quarterstaff;bâton;arme
Quasit;Quasit;
Quick Toss;Lancer preste;manœuvre (TCoE)
Quickened Spell;sort accéléré;métamagie
Quipper;Piranha;
Quiver of Ehlonna;Carquois d'Ehlonna;
Quivering Palm;Paume frémissante / Paume vibratoire;capacité (moine)
Radiance of the Dawn;radiance de l'aube / aube radieuse;capacité (clerc/conduit divin)
radiant;radiant;type de dégâts
Rage;Rage;capacité (barbare)
Raise Dead;Rappel à la vie;
Rakshasa;Rakshasa;
Rally;Regain;manœuvre
range;portée;propriété
ranged weapon attack;attaque à distance avec une arme / attaque d'arme à distance;
ranger;rôdeur;classe
Ranger Archetype;Archétype de rôdeur;capacité (rôdeur)
Ranger's Companion;Compagnon du rôdeur;capacité (rôdeur)
rapier;rapière;arme
Rary's Telepathic Bond;Lien télépathique de Rary;
Rat;Rat;
Raven;Corbeau;
Ray of Enfeeblement;Rayon affaiblissant;
Ray of Frost;Rayon de givre;
Ray of Sickness;Rayon empoisonné;
reach;allonge;propriété
Reaching Woods;Bois accessibles / Amplebois;
Read Thoughts;lecture des pensées;capacité (clerc/conduit divin)
Ready action;Se tenir prêt;action
Rebuke of the Talisman;Représailles du Talisman / Réprimande du Talisman;manifestation occulte (TCoE)
Reckless Attack;Attaque téméraire / Témérité;capacité (barbare)
Red Dragon;Dragon rouge;
Red Slaad;Slaad rouge;
Reef Shark;Requin de récif;
Regenerate;Régénération;
Reincarnate;Réincarnation;
Relentless;Implacable;capacité (guerrier)
Relentless Avenger;Vengeur implacable / Infatigable vengeur;capacité (paladin)
Relentless Endurance;Endurance implacable / Acharnement;capacité (demi-orc)
Relentless Hex;Maléfice implacable;manifestation occulte (XGtE)
Relentless Rage;Rage implacable;capacité (barbare)
Reliable Talent;Savoir-faire;capacité (roublard)
Religion;Religion;compétence
Remarkable Athlete;Athlète accompli;capacité (guerrier)
Remorhaz;Remorhaz;
Remove Curse;Délivrance des malédictions;
Repelling Blast;Décharge répulsive;manifestation occulte
Researcher;Chercheur;capacité (historique)
Resilient;Résilient;don
Resistance;Résistance;
Restrained;entravé;état
Resurrection;Résurrection;
Retainers;Domestiques;capacité (historique)
Retaliation;Représailles;capacité (barbare)
Revenant;Revenant;
Reverse Gravity;Inversion de la gravité;
Revivify;Retour à la vie;
Rhinoceros;Rhinocéros;
Riding Horse;Cheval de selle;
ring mail;broigne;armure
Ring of Animal Influence;Anneau d'influence sur les animaux / Anneau d'influence animale;
Ring of Djinni Summoning;Anneau de convocation de djinn;
Ring of Elemental Command;Anneau de contrôle des élémentaires;
Ring of Evasion;Anneau d'esquive totale;
Ring of Feather Falling;Anneau de feuille morte;
Ring of Free Action;Anneau d'action libre;
Ring of Invisibility;Anneau d'invisibilité;
Ring of Jumping;Anneau de saut;
Ring of Mind Shielding;Anneau de barrière mentale;
Ring of Poison Resistance;Anneau de résistance au poison;
Ring of Protection;Anneau de protection;
Ring of Regeneration;Anneau de régénération;
Ring of Resistance;Anneau de résistance;
Ring of Shooting Stars;Anneau de feu d'étoiles;
Ring of Spell Storing;Anneau de stockage de sort;
Ring of Spell Turning;Anneau de renvoi des sorts;
Ring of Swimming;Anneau de nage;
Ring of Telekinesis;Anneau de télékinésie;
Ring of the Ram;Anneau du bélier;
Ring of Three Wishes;Anneau de triple souhait;
Ring of Warmth;Anneau de chaleur constante;
Ring of Water Walking;Anneau de marche sur l'eau / Anneau de marche sur l'onde;
Ring of X-ray Vision;Anneau de rayons X;
Riposte;Riposte;manœuvre
Ritual Caster;Magie rituelle;don
Robe of Eyes;Robe de vision totale;
Robe of Scintillating Colors;Robe prismatique;
Robe of Stars;Robe aux étoiles;
Robe of the Archmagi;Robe de l'archimage;
Robe of Useful Items;Robe de camelot;
Roc;Roc / Ruhk;
rock gnome;gnome des roches;sous-race (gnome)
Rod of Absorption;Sceptre d'absorption;
Rod of Alertness;Sceptre de vigilance;
Rod of Lordly Might;Sceptre de puissance seigneuriale;
Rod of resurrection;Sceptre de résurrection;
Rod of Rulership;Sceptre de suzeraineté;
Rod of Security;Sceptre de sécurité;
Rod of the Pact Keeper;Sceptre du gardien des pactes;
rogue;roublard;classe
Roguish Archetype;Archétype de roublard;capacité (roublard)
Rope of Climbing;Corde d'escalade;
Rope of Entanglement;Corde d'enchevêtrement;
Rope Trick;Corde enchantée;
Roper;Enlaceur;
Rug of Smothering;Tapis étouffant / Tapis étrangleur;
Rust Monster;Oxydeur;
Rustic Hospitality;Hospitalité rustique;capacité (historique)
Saber-Toothed Tiger;Tigre à dents de sabe;
Sacred Flame;Flamme sacrée;
Sacred Oath;Serment sacré;capacité (paladin)
Sacred Weapon;arme sacrée;capacité (paladin/conduit divin)
Saddle of the Cavalier;Selle du cavalier / Selle du hussard;
sage;sage;historique
Sahuagin;Sahuagin;
Sahuagin Baron;Sahuagin, baron;
Sahuagin Priestess;Sahuagin, prêtresse;
sailor;marin;historique
Salamander;Salamandre;
Sanctuary;Sanctuaire;
Satyr;Satyre;
Savage Attacker;Attaquant sauvage / Agresseur sauvage;don
Savage Attacks;Attaques sauvages / Sauvagerie;capacité (demi-orc)
saving throw;jet de sauvegarde;
Savras;Savras;divinité
scale mail;écailles;armure
Scarab of Protection;Scarabée de protection;
Scarecrow;Épouvantail;
Scatter;Diversion (XGtE);
School of Abjuration;École d'abjuration / École de l'abjuration;voie (magicien)
School of Conjuration;École d'invocation / École de l'invocation;voie (magicien)
School of Divination;École de divination / École de la divination;voie (magicien)
School of Enchantment;École d'enchantement / École de l'enchantement;voie (magicien)
School of Evocation;École d'évocation / École de l'évocation;voie (magicien)
School of Illusion;École d'illusion / École de l'illusion;voie (magicien)
School of Necromancy;École de nécromancie / École de la nécromancie;voie (magicien)
School of Transmutation;École de transmutation / École de la transmutation;voie (magicien)
scimitar;cimeterre;arme
Scimitar of Speed;Cimeterre de rapidité / Cimeterre de célérité;
Scorching Ray;Rayon ardent;
Scorpion;Scorpion;
Scout;Éclaireur;
Scroll of Protection;Parchemin de protection;
Scrying;Scrutation;
Sculpt Spells;Façonneur de sorts;capacité (magicien)
Sculptor of Flesh;Sculpteur de chair;manifestation occulte
Sea Hag;Guenaude marine;
Sea Horse;Hippocampe;
Search action;Chercher;action
Searing Smite;Châtiment calcinant;
Second Chance;Deuxième chance;don (XGtE)
Second Wind;Second souffle;capacité (guerrier)
Second-Story Work;Monte-en-l'air;capacité (roublard)
See Invisibility;Voir l'invisible / Détection de l'invisibilité;
Seeming;Apparence trompeuse;
Selûne;Séluné;divinité
Sending;Communication à distance;
Sending Stones;Pierres de communication à distance / Pierres messagères;
Sentinel;Sentinelle;don
Sentinel Shield;Bouclier sentinelle;
Sequester;Dissimulation / Dissimulation suprême;
Shadow;Ombre;
Shadow Arts;Arts des ombres / Artiste des ombres;capacité (moine)
Shadow Blade;Lame d'ombres (XGtE);
Shadow Demon;Démon des ombres;
Shadow of Moil;Ombre d'égarement (XGtE);
Shadow Step;Foulée d'ombre;capacité (moine)
Shadow Touched;Faveur des ombres;don (TCoE)
Shadowfell, the;Gisombre, la;plan
Shambling Mound;Tertre errant;
Shape Water;Façonnage de l'eau (XGtE);
Shapechange;Changement de forme;
Shapechanger;Métamorphe;capacité (magicien)
Shar;Shar;divinité
Share Spells;Partage des sorts;capacité (rôdeur)
Sharpshooter;Tireur d'élite;don
Shatter;Fracassement;
Shelter of the Faithful;Abri du fidèle / Abri des croyants;capacité (historique)
Shield;Bouclier;
shield;bouclier;armure
Shield Guardian;Gardien animé / Garde animé;
Shield Master;Maître des boucliers;don
Shield of Faith;Bouclier de la foi;
Shield of Missile Attraction;Bouclier d'attraction des projectiles;
Shield, +1, +2, or +3;Bouclier +1, +2 ou +3;
Shillelagh;Gourdin magique / Crosse des druides;
Ship's Passage;Place à bord;capacité (historique)
Shocking Grasp;Poigne électrique;
short rest;repos court;
shortbow;arc court;arme
shortsword;épée courte;arme
Shrieker;Criard;
Shroud of Shadow;Voile d'ombres;manifestation occulte (XGtE)
Sickening Radiance;Rayonnement écoeurant (XGtE);
sickle;serpe;arme
sidekick;comparse;
Sign of Ill Omen;Sombre présage;manifestation occulte
Signature Spells;Sorts de prédilection;capacité (magicien)
Silence;Silence;
Silent Image;Image silencieuse;
Silvanus;Sylvanus / Silvanus;divinité
Silver Dragon;Dragon d'argent;
silver piece (sp);pièce d'argent (pa);pièce
silvered weapon;armes en argent;propriété
simple weapon;armes courantes;propriété
Simulacrum;Simulacre;
Skeleton;Squelette;
skill;compétence;
skill check;jet de compétence / test de compétence;
Skill Empowerment;Amélioration de compétences (XGtE);
Skill Expert;Expert;don (TCoE)
Skill Versatility;Polyvalence;capacité (demi-elfe)
Skilled;Doué;don
Skulker;Discret;don
Skywrite;Libellé aérien (XGtE);
Slaad Tadpole;Slaad, têtard;
Slasher;Pourfendeur / Trancheur;don (TCoE)
slashing;tranchant;type de dégâts
Sleep;Sommeil;
Sleet Storm;Tempête de neige;
Sleight of Hand;Escamotage;compétence
sling;fronde;arme
Slippers of Spider Climbing;Chaussons de pattes d'araignée / Chaussons de l'araignée;
Slippery Mind;Esprit fuyant;capacité (roublard)
Slow;Lenteur;
Slow Fall;Chute ralentie;capacité (moine)
Small;Petite (P);taille
Small Teeth;Quenottes;
Smoke Mephit;Méphite fumant;
Snakewood;Bois du serpent / Bois aux Serpents;
Snare;Collet (XGtE);
Sneak Attack;Attaque sournoise;capacité (roublard)
Snilloc's Snowball Swarm;Nuée de boules de neige de Snilloc (XGtE);
Snowflake Mountains;Montagnes Floconeigeuses / Montagnes des Flocons;
Solar;Solar;
soldier;soldat;historique
somatic component (S);composante somatique (S);
Song of Rest;Chant reposant;capacité (barde)
sorcerer;ensorceleur;classe
Sorcerous Origin;Origine magique;capacité (ensorceleur)
Sorcerous Restoration;Restauration ensorcelée;capacité (ensorceleur)
Soul Cage;Cage des âmes (XGtE);
Soul of Vengeance;Âme vengeresse;capacité (paladin)
Sovereign Glue;Colle universelle;
Spare the Dying;Stabilisation;
Speak with Animals;Communication avec les animaux;
Speak with Dead;Communication avec les morts;
Speak with Plants;Communication avec les plantes;
Speak with Small Beasts;Communication avec les petits animaux;capacité (gnome)
spear;lance;arme
special;spéciale;propriété
Spectator;Spectateur;
Specter;Spectre;
spell attack;attaque avec un sort;
Spell Bombardment;Bombardement de sorts / Torrent arcanique;capacité (ensorceleur)
Spell Mastery;Maîtrise des sorts;capacité (magicien)
Spell Resistance;Résistance aux sorts;capacité (magicien)
Spell Scroll;Parchemin de sort;
spell slots;emplacements de sorts;
Spell Sniper;Mage offensif / Artillerie magique;don
Spell Thief;Voleur de sort;capacité (roublard)
spellcaster;lanceur de sorts;
Spellcasting;Incantation;capacité
spellcasting ability;caractéristique d'incantation;
Spellguard Shield;Bouclier gardesort;
Sphere of Annihilation;Sphère d'annihilation;
Spider;Araignée;
Spider Climb;Pattes d'araignée;
Spike Growth;Croissance d'épines;
Spine of the World;Épine dorsale du Monde / Échine du Monde;
Spined Devil;Diable épineux;
Spirit Guardians;Esprits gardiens;
Spirit Naga;Naga corrupteur;
Spirit Seeker;Quêteur spirituel;capacité (barbare)
Spirit Shroud;Voile spirituel (TCoE);
Spirit Walker;Marcheur spirituel;capacité (barbare)
Spiritual Weapon;Arme spirituelle;
splint;clibanion;armure
Split Enchantment;Partage d'enchantement / Enchantement bifide;capacité (magicien)
Sprite;Esprit follet;
Spy;Espion;
spy;espion;historique
Squat Nimbleness;Agilité des courts-sur-pattes / Trapu mais agile;don (XGtE)
Staff of Charming;Bâton d'envoûtement;
Staff of Fire;Bâton de feu;
Staff of Frost;Bâton de givre;
Staff of Healing;Bâton de guérison;
Staff of Power;Bâton de surpuissance;
Staff of Striking;Bâton percussif;
Staff of Swarming Insects;Bâton de grand essaim / Bâton du grand essaim;
Staff of the Adder;Bâton de la vipère;
Staff of the Magi;Bâton du thaumaturge;
Staff of the Python;Bâton du python;
Staff of the Woodlands;Bâton des forêts;
Staff of Thunder and Lightning;Bâton de tonnerre et de foudre;
Staff of Withering;Bâton de flétrissement;
Staggering Smite;Châtiment débilitant;
Stealth;Discrétion;compétence
Steam Mephit;Méphite vaporeux;
Steel Wind Strike;Frappe du vent d'acier (XGtE);
Step of the Wind;Déplacement aérien;capacité (moine)
Stillness of Mind;Serénité;capacité (moine)
Stinking Cloud;Nuage nauséabond;
Stirge;Strige;
Stone Giant;Géant des pierres;
Stone Golem;Golem de pierre;
Stone of Controlling Earth Elementals;Pierre de contrôle des élémentaires de la terre;
Stone of Good Luck (Luckstone);Pierre porte-bonheur;
Stone Shape;Façonnage de la pierre;
Stonecunning;Connaissance de la pierre;capacité (nain)
Stoneskin;Peau de pierre;
Storm Giant;Géant des tempêtes;
Storm Horns;Cornes orageuses;
Storm of Vengeance;Tempête vengeresse;
Storm Sphere;Sphère de tempête (XGtE);
Stormborn;Enfant de la tempête;capacité (clerc)
stout;robuste;sous-race (halfelin)
Stout Resilience;Résistance des robustes / Résilience des robustes;capacité (halfelin)
Strength;Force;caractéristique
Stroke of Luck;Coup de chance;capacité (roublard)
studded leather;cuir clouté;armure
Student of War;Disciple martial;capacité (guerrier)
stunned;étourdi;état
Stunning Strike;Frappe étourdissante;capacité (moine)
Subrace;sous-race / variante raciale;race
Subtle Spell;sort subtil;métamagie
Succubus;Succube;
Suggestion;Suggestion;
Summon Aberration;Convocation d'aberration (TCoE);
Summon Beast;Convocation de bête (TCoE);
Summon Celestial;Convocation de céleste (TCoE);
Summon Construct;Convocation d'artificiel (TCoE);
Summon Elemental;Convocation d'élémentaire (TCoE);
Summon Fey;Convocation de fée (TCoE);
Summon Fiend;Convocation de fiélon (TCoE);
Summon Greater Demon;Convocation de démon majeur (XGtE);
Summon Lesser Demons;Convocation de démons mineurs (XGtE);
Summon Shadospawn;Convocation de rejeton d'ombre (TCoE);
Summon Undead;Convocation de mort-vivant (TCoE);
Sun Blade;Épée radieuse;
Sunbeam;Rayon de soleil;
Sunburst;Éclat du soleil;
Sune;Sunie;divinité
Sunlight Sensitivity;Sensibilité au soleil;capacité (elfe)
Sunset Mountains;Montagnes du Couchant / Monts du Crépuscule;
Superior Critical;Critique supérieur;capacité (guerrier)
Superior Darkvision;Vision dans le noir supérieure;capacité (elfe)
Superior Hunter's Defense;Défense du chasseur supérieure / Défense de chasseur supérieure;capacité (rôdeur)
Superior Inspiration;Inspiration supérieure;capacité (barde)
Superior Technique;Technique supérieure;style de combat (TCoE)
Supreme Healing;Guérison suprême;capacité (clerc)
Supreme Sneak;Discrétion suprême / Furtivité suprême;capacité (roublard)
Survival;Survie;compétence
Survivor;Survivant;capacité (guerrier)
Swarm of Bats;Nuée de chauves-souris;
Swarm of Insects;Nuée d'insectes;
Swarm of Poisonous Snakes;Nuée de serpents venimeux;
Swarm of Quippers;Nuée de piranhas;
Swarm of Rats;Nuée de rats;
Swarm of Ravens;Nuée de corbeaux;
Sweeping Attack;Balayage;manœuvre
Swift Quiver;Carquois magique / Vif carquois;
Sword Burst;Éruption de lames (TCoE);
Sword Mountains;Montagnes des Épées / Monts de l'Épée Talona =Talona;divinité
Sword of Answering;Épée de réponse;
Sword of Kas;Épée de Kas;
Sword of Life Stealing;Épée voleuse de vie;
Sword of Sharpness;Épée acérée;
Sword of Vengeance;Épée vengeresse;
Sword of Wounding;Épée incisive;
Sylvan;sylvestre;langue
Symbol;Symbole;
Synaptic Static;Perturbations synaptiques (XGtE);
Tactical Assessment;Évaluation technique;manœuvre (TCoE)
Talisman of Pure Good;Talisman du bien ultime;
Talisman of the Sphere;Talisman de la sphère;
Talisman of Ultimate Evil;Talisman du mal absolu;
Talos;Talos;divinité
Tarrasque;Tarasque;
Tasha's Caustic Brew;Mixture caustique de Tasha (TCoE);
Tasha's Hideous Laughter;Fou rire de Tasha;
Tasha's Mind Whip;Fouet mental de Tasha (TCoE);
Tasha's Otherworldly Guise;Costume d'Outremonde de Tasha (TCoE);
Tavern Brawler;Bagarreur de tavernes;don
Telekinesis;Télékinésie;
Telekinetic;Télékinésiste;don (TCoE)
Telepathic;Télépathe;don (TCoE)
Telepathy;Télépathie;
Teleport;Téléportation;
Teleportation Circle;Cercle de téléportation;
Tempest domain;Domaine de la Tempête;voie (clerc)
Temple of the Gods;Temple des dieux (XGtE);
Tempus;Tempus;divinité
Tenser's Floating Disk;Disque flottant de Tenser;
Tenser's Transformation;Transformation de Tenser (XGtE);
Tentacle Rod;Sceptre tentacule / Sceptre-tentacule;
Terran;terreux;langue
Thaumaturgy;Thaumaturgie;
The Third Eye;Troisième œil;capacité (magicien)
Thief;Voleur;voie (roublard)
Thief of Five Fates;Voleur des cinq destinées;manifestation occulte
Thief's Reflexes;Réflexes de voleur;capacité (roublard)
Thieves' cant;Jargon des voleurs / Argot des voleurs;capacité (roublard)
thieves' cant;jargon des voleurs / argot des voleurs;langue
thieves' tools;outils de voleur;
Thirsting Blade;Lame assoiffée;manifestation occulte
Thorn Whip;Fouet épineux;
Thought Shield;Bouclier mental;capacité (occultiste)
Thousand Forms;Mille formes / Mille visages;capacité (druide)
three-quarters cover;abri important;
Thri-kreen;Thri-kreen;
thrown;lancer;propriété
Thrown Weapon Fighting;Armes de lancer;style de combat (TCoE)
Thug;Malfrat;
thunder;tonnerre;type de dégâts
Thunder Step;Foulée tonitruante (XGtE);
Thunderbolt Strike;Frappe de l'éclair / Choc foudrayant;capacité (clerc)
Thunderclap;Coup de tonnerre (XGtE);
Thunderous Smite;Châtiment tonitruant;
Thunderwave;Vague tonnante;
Tidal Wave;Raz-de-marée (XGtE);
Tides of Chaos;Marée du chaos;capacité (ensorceleur)
tiefling;tieffelin;race
Tigre;Tigre;
Time Stop;Arrêt du temps;
Timeless Body;Jeunesse éternelle;capacité (druide, moine)
Tinker;Bricoleur;capacité (gnome)
Tiny;Très petite (TP);taille
Tiny Servant;Serviteur miniature (XGtE);
Toll the Dead;Glas (XGtE);
Tomb of Levistus;Tombe de Levistus;manifestation occulte (XGtE)
Tome of Clear Thought;Traité de perspicacité;
Tome of Leadership and Influence;Traité d'autorité et d'influence;
Tome of the Stilled Tongue;Tome de la langue nouée;
Tome of Understanding;Traité de compréhension;
Tongue of the Sun and Moon;Langue du soleil et de la lune;capacité (moine)
Tongues;Don des langues;
Torm;Torm;divinité
total cover;abri total;
Totem Spirit;Esprit totem / Totem spirituel;capacité (barbare)
Totemic Attunement;Lien totémique / Harmonisation totémique;capacité (barbare)
Tough;Robuste;don
Trance;Transe;capacité (elfe)
Tranquility;Tranquillité / Ataraxie;capacité (moine)
Transitive Planes;plans transitifs;plan
transmutation;transmutation;école de magie
Transmutation Savant;Transmutateur érudit;capacité (magicien)
Transmute Rock;Transmutation de la pierre (XGtE);
Transmuter's Stone;Pierre du transmutateur;capacité (magicien)
Transport via Plants;Voie végétale;
Treant;Sylvanien;
Tree Stride;Passage par les arbres;
Tremorsense;Perception des vibrations;
Tribal Warrior;Guerrier tribal;
Triboar;Troisanglier;
Triceratops;Tricératops;
Trickery domain;Domaine de la Duperie / Domaine de la Ruse;voie (clerc)
Trickster's Escape;Fuite de l'escroc / Fuite de l'escamoteur;manifestation occulte (XGtE)
trident;trident;arme
Trident of Fish Command;Trident de domination aquatique;
Tridrone;Tridrone;
trinkets;babioles;
Trip Attack;Croc-en-jambe;manœuvre
Troglodyte;Troglodyte;
Troll;Troll;
Troll Mountains;Montagnes aux Trolls / Monts des Trolls;
Trollbark Forest;Forêt du cri de troll / Forêt de Trollécorce;
Trollclaws;Griffes de troll / Griffetroll;
True Polymorph;Métamorphose suprême;
True Resurrection;Résurrection suprême;
True Seeing;Vision suprême;
True Strike;Coup au but;
truesight;vision véritable / vision parfaite;
Tsunami;Tsunami;
Turn the Faithless;renvoi des infidèles;capacité (paladin/conduit divin)
Turn the Unholy;renvoi des impies;capacité (paladin/conduit divin)
Turn Undead;renvoi des morts-vivants;capacité (clerc/conduit divin)
Twig Blight;Nielleux;
Twinned Spell;sort jumeau;métamagie
two-handed;à deux mains;propriété
Two-Weapon Fighting;Combat à deux armes;style de combat
Tymora;Tymora;divinité
Tyr;Tyr;divinité
Tyrannosaurus Rex;Tyrannosaure;
Ultroloth;Ultroloth;
Umber Hulk;Mastodonte des ombres;
Umberlee;Umberlie;divinité
unaligned;sans alignement / non-aligné;
Unarmed Fighting;Combat à mains nues;style de combat (TCoE)
Unarmored Defense;Défense sans armure;capacité (barbare, moine)
Unarmored Movement;Déplacement sans armure;capacité (moine)
Uncanny Dodge;Esquive instinctive;capacité (roublard)
Unconscious;inconscient;état
undead;mort-vivant (pluriel: morts-vivants);type de créature
Undead Thralls;Serviteurs morts-vivants;capacité (magicien)
Undercommon;commun des profondeurs;langue
Underdark;Outreterre;
Undying Sentinel;Sentinelle immortelle;capacité (paladin)
Undying Servitude;Servitude de la tombe;manifestation occulte (TCoE)
Unicorn;Licorne;
Universal Solvent;Solvant universel;
Unseen Servant;Serviteur invisible;
urchin;enfant des rues;historique
Use an Object;Utiliser un objet;action
Use Magic Device;Utilisation d'objets magiques;capacité (roublard)
Vampire;Vampire;
Vampire Spawn;Vampirien;
Vampiric Touch;Toucher du vampire / Caresse du vampire;
Vanish;Disparition;capacité (rôdeur)
verbal component (V);composante verbale (V);
versatile;polyvalente;propriété
Versatile Trickster;Escroc polyvalent / Omniprésence;capacité (roublard)
Veteran;Vétéran;
Vicious Mockery;Moquerie cruelle;
Vicious Weapon;Arme vicieuse;
Vine Blight;Lierreux;
Violet Fungus;Moisissure violette;
Visions of Distant Realms;Royaumes lointains;manifestation occulte
Visions of the Past;Visions du passé;capacité (clerc)
Vitriolic Sphere;Sphère de vitriol (XGtE);
Voice of the Chain Master;Voix du maître des Chaînes;manifestation occulte
Vorpal Sword;Épée vorpale;
Vow of Enmity;vœu d'hostilité;capacité (paladin/conduit divin)
Vrock;Vrock;
Vulture;Vautour;
Wall of Fire;Mur de feu;
Wall of Force;Mur de force;
Wall of Ice;Mur de glace;
Wall of Light;Mur de lumière (XGtE);
Wall of Sand;Mur de sable (XGtE);
Wall of Stone;Mur de pierre;
Wall of Thorns;Mur d'épines;
Wall of Water;Mur d'eau (XGtE);
Wand of Binding;Baguette d'entraves;
Wand of Enemy Detection;Baguette de détection de l'ennemi;
Wand of Fear;Baguette de peur / Baguette de terreur;
Wand of Fireballs;Baguette de boules de feu;
Wand of Lightning Bolts;Baguette d'éclairs;
Wand of Magic Detection;Baguette de détection de la magie;
Wand of Magic Missiles;Baguette de projectiles magiques;
Wand of Orcus;Baguette d'Orcus;
Wand of Paralysis;Baguette de paralysie;
Wand of Polymorph;Baguette de métamorphose;
Wand of Secrets;Baguette des secrets;
Wand of the War Mage +1, +2, or +3;Baguette du mage de guerre +1, +2 ou +3;
Wand of Web;Baguette de toile d'araignée / Baguette des toiles;
Wand of Wonder;Baguette des merveilles;
Wanderer;Éternel vagabond;capacité (historique)
War Caster;Mage de guerre;don
War domain;Domaine de la Guerre;voie (clerc)
War God's Blessing;bénédiction du dieu de la Guerre;capacité (clerc/conduit divin)
War Magic;Magie de guerre;capacité (guerrier)
war pick;pic de guerre;arme
War Priest;Prêtre de guerre;capacité (clerc)
Warding Bond;Lien de protection;
Warding Flare;Illumination protectrice;capacité (clerc)
Warding Wind;Vent protecteur (XGtE);
warhammer;marteau de guerre;arme
Warhorse;Cheval de guerre / Destrier;
Warhorse Skeleton;Squelette de cheval de guerre / Squelette de destrier;
warlock;occultiste;classe
Water Breathing;Respiration aquatique;
Water Elemental;Élémentaire de l'eau;
Water Walk;Marche sur l'eau / Marche sur l'onde;
Water Weird;Sentinelle d'eau / Sibylle de l'eau;
Waterdeep;Eauprofonde;
Watery Sphere;Sphère aqueuse (XGtE);
Waukeen;Waukyne;divinité
